expo,table,project,sponsors,link,
251,9,WISE,"Best Travel Hack (Concur),Best Use of Firebase (Google),Best Use of Personalization (Disney),Best First Time Hackers Project",http://dubhacks15f.devpost.com/submissions/42881-wise,
251,10,Chatl;dr,"Best Use of Firebase (Google),Best Use of Bluemix (IBM)",http://dubhacks15f.devpost.com/submissions/42882-chatl-dr,
251,11,duo&chill,"Best Use of Algorithmia API,Best Use of Firebase (Google),Best Overall Use of Microsoft Tech,Best Use of AWS (MLH),Best Domain Registered at DubHacks (NameCheap),Best Use of Personalization (Disney),Best Domain Name Registered with Domain.com (MLH)",http://dubhacks15f.devpost.com/submissions/42883-duo-chill,
251,12,Mugshot,,http://dubhacks15f.devpost.com/submissions/42884-mugshot,
251,13,Identifai.me,"TBA,Best Use of Clarifai API",http://dubhacks15f.devpost.com/submissions/42885-identifai-me,
251,14,Missile Jump,,http://dubhacks15f.devpost.com/submissions/42886-missile-jump,
251,15,DubHacksFall2015-Student-Starters-Web-App,,http://dubhacks15f.devpost.com/submissions/42887-dubhacksfall2015-student-starters-web-app,
251,16,LineUp,Best First Time Hackers Project,http://dubhacks15f.devpost.com/submissions/42889-lineup,
251,17,Graph Creator,,http://dubhacks15f.devpost.com/submissions/42890-graph-creator,
251,18,NeighborChat,,http://dubhacks15f.devpost.com/submissions/42891-neighborchat,
251,19,Twitter Filter,"Best Use of Clarifai API,Best Use of AWS (MLH)",http://dubhacks15f.devpost.com/submissions/42892-twitter-filter,
251,20,Map Roulette,"Best Use of Data (Isilon),Best Travel Hack (Concur)",http://dubhacks15f.devpost.com/submissions/42893-map-roulette,
251,21,Dubhacks15,Best Use of Firebase (Google),http://dubhacks15f.devpost.com/submissions/42894-dubhacks15,
251,22,Prosebly,,http://dubhacks15f.devpost.com/submissions/42895-prosebly,
251,23,computespot,"Best Use of Firebase (Google),Best Use of AWS (MLH)",http://dubhacks15f.devpost.com/submissions/42896-computespot,
234,1,Donut Worry,,http://dubhacks15f.devpost.com/submissions/42897-donut-worry,
234,2,listennit,Built on .CO Domain,http://dubhacks15f.devpost.com/submissions/42898-listennit,
234,3,Bits Fit,Best Overall Use of Microsoft Tech,http://dubhacks15f.devpost.com/submissions/42899-bits-fit,
234,4,Fora,"Best Use of Algorithmia API,Best Overall Use of Microsoft Tech",http://dubhacks15f.devpost.com/submissions/42900-fora,
234,5,BellHapp,,http://dubhacks15f.devpost.com/submissions/42901-bellhapp,
234,6,Uni ,"Best Use of Firebase (Google),Best Monetization Strategy Sponsored (TUNE)",http://dubhacks15f.devpost.com/submissions/42902-uni,
234,7,Lyricsify,Best Overall Use of Microsoft Tech,http://dubhacks15f.devpost.com/submissions/42903-lyricsify,
234,8,RecycleMe,"Best Use of Clarifai API,Best First Time Hackers Project",http://dubhacks15f.devpost.com/submissions/42904-recycleme,
234,9,BestSuited,Best Use of Algorithmia API,http://dubhacks15f.devpost.com/submissions/42905-bestsuited,
234,10,Cloudbike,"Best Overall Use of Microsoft Tech,Best Use of AWS (MLH)",http://dubhacks15f.devpost.com/submissions/42906-cloudbike,
234,11,Beastro,"Best Overall Use of Microsoft Tech, Best Monetization Strategy Sponsored (TUNE), Best Use of Personalization (Disney)",,
234,12,SnapShop,",Best Use of Clarifai API",,
234,13,,,,
234,14,,,,
234,15,,,,
234,16,,,,
228,1,,,,
228,2,,,,
228,3,,,,
228,4,,,,
228,5,,,,
228,6,,,,
228,7,,,,
228,8,,,,
228,9,,,,
228,10,,,,
228,11,,,,
228,12,,,,
228,13,,,,
228,14,,,,
228,15,,,,
238,1,,,,
238,2,,,,
238,3,,,,
238,4,,,,
238,5,,,,
238,6,,,,
238,7,,,,
238,8,,,,
238,9,,,,
238,10,,,,
238,11,,,,
238,12,,,,
238,13,,,,
238,14,,,,
238,15,,,,
238,16,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,*
,,,,,*
,,,,,*
,,,,,
,,,,,
,,,,,*
